distance,clock,feature_type,depth_2022,length,width,survey_year,depth_2015,depth_2007
9477.362,02:22:00,Metal Loss,18.0,1.5,1.3,2022,,
9477.464,01:16:00,Metal Loss,23.0,6.6,2.4,2022,,
9477.999,09:03:00,Metal Loss,19.0,3.6,3.3,2022,,
9478.054,02:20:00,Metal Loss,14.0,4.1,1.1,2022,,
9478.524,01:13:00,Metal Loss,19.0,4.9,2.1,2022,,
9478.54,07:38:00,Metal Loss,19.0,6.1,3.1,2022,,
9478.678,02:20:00,Metal Loss,20.0,4.1,2.2,2022,,
9479.573,07:46:00,Metal Loss,21.0,5.7,3.0,2022,,
9480.256,07:38:00,Metal Loss,26.0,4.9,4.1,2022,,
9480.938,07:34:00,Metal Loss,21.0,1.3,1.4,2022,,
9481.309,07:45:00,Metal Loss,23.0,2.3,1.4,2022,,
9481.788,07:30:00,Metal Loss,18.0,1.7,1.3,2022,,
9482.26,07:44:00,Metal Loss,25.0,4.8,1.8,2022,,
9483.166,07:55:00,Metal Loss,25.0,4.5,2.2,2022,,
9483.842,07:47:00,Metal Loss,29.0,2.8,2.0,2022,,
9484.452,07:45:00,Metal Loss,28.0,1.4,1.6,2022,,
9485.167,07:35:00,Metal Loss,29.0,2.2,1.9,2022,,
9485.561,04:48:00,Metal Loss,50.0,1.4,1.6,2022,,
9485.715,05:32:00,Metal Loss,36.0,2.2,3.1,2022,,
10147.329,06:13:00,Metal Loss,22.0,3.5,5.0,2022,,
10147.457,04:55:00,Metal Loss,24.0,3.9,5.0,2022,,
10153.517,11:57:00,Metal Loss,14.0,4.3,1.7,2022,,
10160.41,11:42:00,Metal Loss,13.0,14.6,3.0,2022,,
10177.556,11:51:00,Metal Loss,17.0,0.6,1.3,2022,,
10178.054,11:20:00,Metal Loss,16.0,0.6,1.0,2022,,
10181.115,12:25:00,Metal Loss,13.0,6.0,1.3,2022,,
10182.52,12:24:00,Metal Loss,17.0,3.7,0.9,2022,,
10241.49,04:18:00,Metal Loss,23.0,1.6,2.0,2022,,
10241.611,05:25:00,Metal Loss,17.0,3.4,2.1,2022,,
10242.083,05:29:00,Metal Loss,18.0,2.3,3.4,2022,,
10242.487,05:18:00,Metal Loss,14.0,5.2,1.7,2022,,
10426.083,07:55:00,Metal Loss,15.0,5.2,1.8,2022,,
10427.72,07:52:00,Metal Loss,16.0,2.9,1.2,2022,,
10428.881,07:42:00,Metal Loss,11.0,7.1,2.2,2022,,
10444.728,08:04:00,Metal Loss,13.0,5.0,1.7,2022,,
10460.843,07:56:00,Metal Loss,11.0,10.1,3.5,2022,,
10462.457,08:17:00,Metal Loss,14.0,3.3,1.3,2022,,
10463.153,06:53:00,Metal Loss,13.0,3.7,2.9,2022,,
10463.402,04:48:00,Metal Loss,12.0,5.3,3.7,2022,,
10543.307,04:23:00,Metal Loss,18.0,6.4,3.8,2022,,
10545.079,06:14:00,Metal Loss,15.0,2.6,1.6,2022,,
10622.356,06:22:00,Metal Loss,24.0,1.5,1.1,2022,,
10623.796,06:39:00,Metal Loss,23.0,5.0,4.4,2022,,
10623.963,03:59:00,Metal Loss,27.0,2.2,2.9,2022,,
10668.829,11:34:00,Metal Loss,11.0,9.0,3.2,2022,,
10784.616,05:14:00,Metal Loss,25.0,1.7,1.7,2022,,
10784.829,03:51:00,Metal Loss,15.0,4.1,2.3,2022,,
10813.586,04:08:00,Metal Loss,10.0,13.0,3.6,2022,,
10818.54,04:31:00,Metal Loss,10.0,4.6,1.5,2022,,
10858.196,08:41:00,Metal Loss,12.0,3.3,1.5,2022,,
10859.426,08:49:00,Metal Loss,12.0,5.3,1.2,2022,,
11324.531,05:51:00,Metal Loss,14.0,5.6,3.8,2022,,
11337.087,11:14:00,Metal Loss,11.0,14.1,5.2,2022,,
11486.476,08:03:00,Metal Loss,13.0,10.1,2.7,2022,,
11500.39,07:48:00,Metal Loss,18.0,2.4,1.8,2022,,
11505.65,08:05:00,Metal Loss,11.0,6.1,1.9,2022,,
11512.9,08:40:00,Metal Loss,13.0,2.5,0.7,2022,,
11514.633,08:47:00,Metal Loss,13.0,3.6,1.9,2022,,
11726.316,03:40:00,Metal Loss,12.0,12.5,2.4,2022,,
11728.104,03:36:00,Metal Loss,11.0,20.1,2.0,2022,,
11743.806,03:20:00,Metal Loss,13.0,9.8,3.4,2022,,
11780.043,06:06:00,Metal Loss,12.0,4.1,4.4,2022,,
11945.869,02:18:00,Metal Loss,13.0,10.4,3.0,2022,,
12141.325,06:33:00,Metal Loss,11.0,4.8,1.6,2022,,
12142.313,06:37:00,Metal Loss,11.0,2.8,3.6,2022,,
12146.407,06:48:00,Metal Loss,10.0,5.1,1.6,2022,,
12162.674,06:53:00,Metal Loss,16.0,5.5,3.4,2022,,
12264.18,06:42:00,Metal Loss,15.0,2.2,1.7,2022,,
12286.867,02:02:00,Metal Loss,12.0,10.5,3.4,2022,,
12412.49,04:25:00,Metal Loss,12.0,17.0,2.3,2022,,
12416.394,04:16:00,Metal Loss,12.0,9.7,3.7,2022,,
12417.644,04:15:00,Metal Loss,13.0,10.2,4.2,2022,,
12421.26,04:17:00,Metal Loss,13.0,8.9,2.8,2022,,
12426.778,03:56:00,Metal Loss,13.0,9.5,4.5,2022,16.0,
12429.075,04:18:00,Metal Loss,16.0,12.4,5.9,2022,,
12431.686,04:09:00,Metal Loss,12.0,10.1,6.5,2022,,
12434.4,04:30:00,Metal Loss,13.0,5.4,3.2,2022,,
12447.864,06:59:00,Metal Loss,12.0,12.8,2.4,2022,,
12450.03,06:57:00,Metal Loss,12.0,9.3,2.2,2022,,
12451.22,07:03:00,Metal Loss,10.0,4.3,3.1,2022,,
12455.308,07:10:00,Metal Loss,17.0,17.2,6.7,2022,,
12456.883,06:53:00,Metal Loss,13.0,1.4,0.3,2022,,
12457.589,07:08:00,Metal Loss,15.0,15.0,7.6,2022,,
12459.094,06:54:00,Metal Loss,16.0,3.0,3.5,2022,,
12459.915,07:03:00,Metal Loss,17.0,3.5,1.9,2022,,
12462.995,07:23:00,Metal Loss,13.0,9.6,3.4,2022,,
12468.635,07:12:00,Metal Loss,13.0,23.5,5.8,2022,,
12473.72,07:09:00,Metal Loss,11.0,11.6,3.5,2022,,
12511.335,09:05:00,Metal Loss,13.0,29.2,3.5,2022,,
12515.492,09:03:00,Metal Loss,16.0,4.8,2.5,2022,,
12518.428,09:10:00,Metal Loss,12.0,7.3,2.4,2022,,
12973.179,04:43:00,Metal Loss,17.0,20.1,3.1,2022,,
13035.0,08:12:00,Metal Loss,12.0,2.7,1.8,2022,,
13054.738,08:09:00,Metal Loss,10.0,11.5,2.0,2022,,
13189.665,06:24:00,Metal Loss,22.0,12.8,19.6,2022,,
13190.236,03:33:00,Metal Loss,21.0,5.3,3.0,2022,,
13681.542,03:40:00,Metal Loss,18.0,4.1,7.5,2022,,
13681.667,06:53:00,Metal Loss,17.0,1.4,2.7,2022,,
13681.903,04:49:00,Metal Loss,21.0,1.7,1.6,2022,,
13889.177,12:53:00,Metal Loss,26.0,0.4,0.2,2022,,
13889.741,09:31:00,Metal Loss,17.0,1.3,0.5,2022,,
13890.43,12:50:00,Metal Loss,35.0,1.3,1.4,2022,,
13890.522,07:34:00,Metal Loss,13.0,0.6,0.5,2022,,
13890.551,09:53:00,Metal Loss,21.0,0.7,1.3,2022,,
14038.661,06:04:00,Metal Loss,16.0,1.7,1.3,2022,,
14039.242,05:29:00,Metal Loss,16.0,7.1,5.3,2022,,
14107.572,08:43:00,Metal Loss,12.0,3.3,2.2,2022,,
14109.626,08:46:00,Metal Loss,13.0,1.8,3.4,2022,,
14113.661,08:53:00,Metal Loss,14.0,3.9,2.0,2022,,
14114.19,12:00:00,Metal Loss,27.0,0.6,1.1,2022,,
14114.56,12:00:00,Metal Loss,26.0,0.7,1.3,2022,,
14116.047,08:39:00,Metal Loss,12.0,5.8,3.0,2022,,
14297.595,10:19:00,Metal Loss,11.0,11.7,4.3,2022,,
14298.76,10:31:00,Metal Loss,11.0,22.8,2.6,2022,,
14302.713,10:48:00,Metal Loss,12.0,6.5,1.6,2022,,
14304.36,11:19:00,Metal Loss,10.0,3.5,2.3,2022,,
14304.823,10:24:00,Metal Loss,11.0,21.8,3.5,2022,,
14308.524,10:22:00,Metal Loss,15.0,1.9,1.1,2022,,
14311.909,10:42:00,Metal Loss,15.0,27.7,7.2,2022,,
14315.902,11:16:00,Metal Loss,10.0,6.5,1.9,2022,,
14328.566,10:34:00,Metal Loss,12.0,53.8,5.0,2022,,
14349.587,07:40:00,Metal Loss,16.0,2.5,3.7,2022,,
14381.89,06:34:00,Metal Loss,11.0,3.4,1.6,2022,,
14597.743,07:45:00,Metal Loss,12.0,3.5,0.9,2022,,
14597.854,06:15:00,Metal Loss,16.0,2.4,0.8,2022,,
14718.376,12:26:00,Metal Loss,15.0,5.4,3.8,2022,,
14778.14,10:22:00,Metal Loss,10.0,8.7,3.5,2022,,
14782.904,04:08:00,Metal Loss,10.0,2.4,0.7,2022,,
14783.478,04:02:00,Metal Loss,25.0,2.3,2.8,2022,,
14783.924,06:44:00,Metal Loss,21.0,10.4,5.7,2022,,
14784.888,04:01:00,Metal Loss,13.0,1.5,1.0,2022,,
14785.072,07:05:00,Metal Loss,14.0,7.9,5.2,2022,,
14785.226,04:07:00,Metal Loss,14.0,1.0,1.0,2022,,
14785.584,04:04:00,Metal Loss,17.0,2.2,2.0,2022,,
14786.014,07:17:00,Metal Loss,12.0,3.6,4.2,2022,,
14786.07,04:04:00,Metal Loss,18.0,0.7,0.7,2022,,
14786.49,07:15:00,Metal Loss,13.0,5.6,3.9,2022,,
14790.627,09:26:00,Metal Loss,44.0,5.0,1.5,2022,,
14791.473,09:30:00,Metal Loss,23.0,3.4,1.6,2022,,
14792.293,02:03:00,Metal Loss,32.0,18.8,8.5,2022,,
14793.514,09:42:00,Metal Loss,18.0,73.1,8.8,2022,,
14794.098,02:07:00,Metal Loss,14.0,3.5,1.4,2022,,
14795.144,02:11:00,Metal Loss,18.0,1.8,1.1,2022,,
14795.499,02:11:00,Metal Loss,14.0,2.5,1.9,2022,,
14796.775,08:10:00,Metal Loss,17.0,19.4,3.3,2022,,
14797.182,02:15:00,Metal Loss,15.0,1.9,0.9,2022,,
14801.883,09:29:00,Metal Loss,12.0,4.7,2.0,2022,,
14802.585,09:30:00,Metal Loss,14.0,2.2,1.7,2022,,
14803.202,09:30:00,Metal Loss,13.0,1.8,0.9,2022,,
14803.665,09:30:00,Metal Loss,12.0,2.3,1.3,2022,,
14803.714,02:10:00,Metal Loss,10.0,5.3,1.6,2022,,
14810.466,02:33:00,Metal Loss,12.0,3.1,3.7,2022,,
14810.518,09:01:00,Metal Loss,12.0,2.1,2.0,2022,,
14810.568,11:08:00,Metal Loss,13.0,1.4,1.0,2022,,
14938.025,06:08:00,Metal Loss,31.0,1.9,0.9,2022,27.0,
14938.553,01:07:00,Metal Loss,20.0,1.7,2.0,2022,14.0,26.0
14947.283,11:07:00,Metal Loss,15.0,1.4,1.9,2022,36.0,
14947.484,10:07:00,Metal Loss,13.0,1.0,0.7,2022,44.0,
14947.723,09:00:00,Metal Loss,12.0,3.5,1.8,2022,19.0,
14947.89,09:48:00,Metal Loss,11.0,1.8,1.0,2022,24.0,
14948.015,02:13:00,Metal Loss,14.0,0.9,0.3,2022,10.0,
14948.491,01:39:00,Metal Loss,16.0,5.7,1.5,2022,13.0,
14949.508,07:35:00,Metal Loss,11.0,7.1,2.8,2022,10.0,
14951.909,01:39:00,Metal Loss,11.0,3.3,0.7,2022,19.0,
14954.888,08:38:00,Metal Loss,13.0,4.4,2.6,2022,14.0,
14955.991,06:57:00,Metal Loss,18.0,7.1,3.0,2022,15.0,31.0
14956.581,08:38:00,Metal Loss,18.0,1.6,1.7,2022,13.0,
14957.149,01:37:00,Metal Loss,12.0,1.9,0.7,2022,15.0,
14957.359,08:38:00,Metal Loss,16.0,1.3,1.9,2022,11.0,
14958.143,08:42:00,Metal Loss,13.0,2.8,2.6,2022,19.0,
14958.461,09:00:00,Metal Loss,16.0,4.8,1.4,2022,19.0,
14958.629,08:26:00,Metal Loss,12.0,4.4,3.0,2022,12.0,
14963.146,09:53:00,Metal Loss,13.0,0.7,1.0,2022,10.0,
14966.444,10:21:00,Metal Loss,16.0,0.9,0.9,2022,10.0,
14968.455,11:20:00,Metal Loss,13.0,3.0,3.4,2022,10.0,
14968.914,11:35:00,Metal Loss,15.0,0.6,1.0,2022,13.0,
14972.513,12:44:00,Metal Loss,20.0,6.0,5.4,2022,11.0,
14973.848,09:49:00,Metal Loss,16.0,4.3,3.0,2022,15.0,
14974.695,12:24:00,Metal Loss,14.0,29.0,8.0,2022,21.0,
14974.774,09:52:00,Metal Loss,12.0,3.1,1.7,2022,11.0,
14975.968,09:55:00,Metal Loss,14.0,1.9,0.9,2022,40.0,
14976.512,09:59:00,Metal Loss,15.0,1.7,1.3,2022,11.0,
14986.696,12:40:00,Metal Loss,26.0,9.5,5.4,2022,10.0,
15002.497,05:50:00,Metal Loss,16.0,5.7,5.3,2022,,
15003.743,04:25:00,Metal Loss,25.0,9.3,3.1,2022,,
15007.575,05:51:00,Metal Loss,26.0,9.8,6.3,2022,,
15007.881,04:01:00,Metal Loss,25.0,3.7,3.9,2022,,
15008.602,03:48:00,Metal Loss,20.0,22.9,5.1,2022,,
15011.601,03:16:00,Metal Loss,22.0,33.8,15.3,2022,15.0,
15012.484,05:38:00,Metal Loss,12.0,10.0,3.9,2022,,
15013.576,06:09:00,Metal Loss,14.0,4.8,2.7,2022,,
15020.738,09:41:00,Metal Loss,12.0,7.5,3.2,2022,10.0,
15021.631,10:11:00,Metal Loss,12.0,9.4,3.0,2022,11.0,
15029.964,07:04:00,Metal Loss,12.0,4.4,2.4,2022,11.0,11.0
15033.681,02:45:00,Metal Loss,14.0,5.3,2.8,2022,10.0,
15034.436,02:51:00,Metal Loss,18.0,3.2,2.0,2022,,
15049.265,05:04:00,Metal Loss,11.0,5.8,3.7,2022,13.0,
15052.946,01:37:00,Metal Loss,27.0,19.8,4.3,2022,17.0,
15053.599,08:47:00,Metal Loss,13.0,2.6,1.0,2022,13.0,
15055.164,01:08:00,Metal Loss,15.0,6.8,5.0,2022,12.0,
15064.019,06:43:00,Metal Loss,15.0,2.1,1.4,2022,15.0,
15064.17,03:25:00,Metal Loss,17.0,0.8,3.6,2022,23.0,12.0
15064.196,04:52:00,Metal Loss,17.0,2.0,1.4,2022,19.0,
15064.206,07:33:00,Metal Loss,15.0,2.3,1.0,2022,23.0,14.0
15064.219,02:16:00,Metal Loss,13.0,1.6,2.1,2022,10.0,
15064.249,04:23:00,Metal Loss,13.0,1.3,0.7,2022,10.0,
15064.925,02:29:00,Metal Loss,12.0,2.6,3.3,2022,10.0,
15065.643,08:53:00,Metal Loss,16.0,3.8,3.8,2022,17.0,18.0
15065.771,12:22:00,Metal Loss,22.0,1.5,2.2,2022,20.0,
15086.227,07:45:00,Metal Loss,17.0,1.9,2.2,2022,10.0,22.0
15087.602,07:26:00,Metal Loss,13.0,0.9,0.7,2022,10.0,
15088.412,08:01:00,Metal Loss,27.0,42.6,8.3,2022,11.0,11.0
15092.165,07:48:00,Metal Loss,41.0,53.2,12.3,2022,10.0,
15097.29,03:11:00,Metal Loss,23.0,3.3,2.6,2022,22.0,
15098.202,08:32:00,Metal Loss,31.0,15.3,7.6,2022,31.0,
15101.07,09:23:00,Metal Loss,24.0,12.4,5.5,2022,10.0,
15101.519,01:46:00,Metal Loss,12.0,2.3,1.3,2022,10.0,
15101.909,02:20:00,Metal Loss,11.0,2.4,1.3,2022,19.0,
15102.333,09:13:00,Metal Loss,15.0,1.5,1.9,2022,49.0,
15103.251,09:23:00,Metal Loss,15.0,1.7,2.2,2022,27.0,
15103.934,09:43:00,Metal Loss,16.0,6.3,3.6,2022,29.0,
15107.703,08:23:00,Metal Loss,14.0,2.2,1.5,2022,41.0,
15108.271,08:51:00,Metal Loss,12.0,3.1,1.7,2022,40.0,
15109.157,03:33:00,Metal Loss,32.0,5.6,7.3,2022,14.0,
15111.919,08:32:00,Metal Loss,13.0,3.6,1.8,2022,30.0,
15113.386,05:07:00,Metal Loss,29.0,15.4,8.8,2022,,
15113.694,11:43:00,Metal Loss,12.0,6.5,2.0,2022,13.0,
15115.154,09:36:00,Metal Loss,16.0,9.9,4.8,2022,,
15115.479,11:53:00,Metal Loss,34.0,24.7,10.4,2022,14.0,
15125.791,03:35:00,Metal Loss,21.0,10.7,7.9,2022,,
15126.122,01:51:00,Metal Loss,32.0,1.9,1.4,2022,,
15132.32,06:21:00,Metal Loss,16.0,2.6,2.2,2022,,
15132.484,07:45:00,Metal Loss,40.0,10.3,4.3,2022,,
15133.015,06:13:00,Metal Loss,13.0,2.6,3.1,2022,,
15140.361,06:19:00,Metal Loss,16.0,5.5,5.0,2022,,
15144.206,03:32:00,Metal Loss,21.0,6.0,7.6,2022,,
15144.551,02:29:00,Metal Loss,19.0,0.8,0.3,2022,,
15146.073,10:56:00,Metal Loss,23.0,2.6,4.5,2022,,
15146.138,03:40:00,Metal Loss,10.0,4.7,3.6,2022,,
15161.493,11:36:00,Metal Loss,14.0,3.4,1.9,2022,,
15211.401,08:33:00,Metal Loss,13.0,3.3,2.4,2022,,
15224.154,04:14:00,Metal Loss,23.0,7.4,6.1,2022,,
15224.472,01:58:00,Metal Loss,22.0,25.2,18.5,2022,,
15226.306,02:39:00,Metal Loss,18.0,3.1,3.5,2022,,
15226.89,12:49:00,Metal Loss,10.0,5.0,1.3,2022,,
15227.805,12:52:00,Metal Loss,14.0,5.1,2.2,2022,,
15242.231,12:57:00,Metal Loss,17.0,31.3,3.7,2022,,
15302.343,05:01:00,Metal Loss,19.0,2.3,2.9,2022,10.0,
15303.015,05:36:00,Metal Loss,14.0,1.3,0.7,2022,,
15303.068,06:22:00,Metal Loss,14.0,1.1,0.3,2022,,
15303.891,07:39:00,Metal Loss,19.0,5.4,7.0,2022,,
15314.633,07:54:00,Metal Loss,16.0,10.7,4.8,2022,,
15315.226,04:44:00,Metal Loss,15.0,9.5,8.2,2022,,
15315.322,02:48:00,Metal Loss,14.0,2.9,1.7,2022,,
15383.114,05:49:00,Metal Loss,32.0,1.3,2.6,2022,19.0,
15405.932,02:02:00,Metal Loss,16.0,2.8,2.2,2022,,
15406.063,03:47:00,Metal Loss,14.0,6.4,2.6,2022,,
15418.435,06:44:00,Metal Loss,13.0,1.6,1.7,2022,,
15418.609,10:40:00,Metal Loss,15.0,2.2,1.7,2022,,
15418.848,05:14:00,Metal Loss,25.0,1.7,1.3,2022,,
15418.888,07:02:00,Metal Loss,12.0,1.5,1.0,2022,,20.0
15546.375,06:28:00,Metal Loss,13.0,8.5,4.6,2022,,
15546.969,08:02:00,Metal Loss,14.0,24.6,7.8,2022,,
15547.014,03:04:00,Metal Loss,16.0,5.8,4.9,2022,,
15548.533,06:30:00,Metal Loss,12.0,1.6,2.0,2022,,
15627.723,04:54:00,Metal Loss,22.0,2.8,1.9,2022,,
15906.217,07:18:00,Metal Loss,10.0,3.7,2.7,2022,,
15961.463,03:14:00,Metal Loss,11.0,3.6,1.0,2022,,10.0
15964.688,03:11:00,Metal Loss,13.0,3.4,1.1,2022,,
15965.568,03:13:00,Metal Loss,14.0,3.7,1.4,2022,,
15968.816,03:06:00,Metal Loss,10.0,8.2,3.4,2022,,
15995.328,08:02:00,Metal Loss,10.0,7.9,3.2,2022,,
15996.385,07:55:00,Metal Loss,13.0,11.1,5.2,2022,,
15998.465,08:09:00,Metal Loss,12.0,13.7,3.7,2022,,16.0
16019.547,08:14:00,Metal Loss,12.0,8.3,2.2,2022,,10.0
16021.25,08:12:00,Metal Loss,14.0,7.8,1.8,2022,,
16023.944,06:01:00,Metal Loss,16.0,4.6,3.3,2022,13.0,
16065.86,07:30:00,Metal Loss,24.0,1.8,1.5,2022,,
16082.477,07:26:00,Metal Loss,18.0,0.6,0.9,2022,,
16422.142,04:30:00,Metal Loss,21.0,3.5,2.4,2022,,10.0
16502.995,05:21:00,Metal Loss,17.0,3.7,3.1,2022,,
16504.396,08:13:00,Metal Loss,12.0,5.5,2.4,2022,,
16504.633,06:56:00,Metal Loss,25.0,10.8,7.3,2022,,10.0
16504.767,05:00:00,Metal Loss,15.0,6.4,10.1,2022,,
16575.932,05:16:00,Metal Loss,20.0,24.2,19.2,2022,,
16582.897,07:54:00,Metal Loss,26.0,14.6,10.4,2022,,14.0
16583.117,06:24:00,Metal Loss,19.0,4.4,3.8,2022,,12.0
16583.225,03:18:00,Metal Loss,14.0,11.1,10.6,2022,,
16583.271,09:35:00,Metal Loss,24.0,2.5,3.3,2022,,
16583.294,04:47:00,Metal Loss,17.0,5.3,3.2,2022,,10.0
16663.432,07:01:00,Metal Loss,20.0,5.6,4.7,2022,,
16663.53,04:28:00,Metal Loss,21.0,2.2,2.5,2022,,
16665.262,06:55:00,Metal Loss,15.0,2.4,2.1,2022,,
16743.871,07:46:00,Metal Loss,24.0,2.2,2.7,2022,,
16743.967,03:39:00,Metal Loss,23.0,2.0,2.2,2022,,
16744.035,01:40:00,Metal Loss,15.0,1.9,2.5,2022,,
16744.872,04:12:00,Metal Loss,34.0,0.7,1.9,2022,,
16745.39,04:34:00,Metal Loss,29.0,8.6,15.1,2022,,
16745.561,01:46:00,Metal Loss,22.0,1.2,1.7,2022,,
16824.321,03:23:00,Metal Loss,20.0,18.5,6.8,2022,,
16824.8,06:05:00,Metal Loss,20.0,2.6,3.5,2022,,
16825.289,05:04:00,Metal Loss,14.0,10.9,5.9,2022,,
16978.402,11:32:00,Metal Loss,15.0,3.9,1.7,2022,,
17668.209,10:17:00,Metal Loss,29.0,43.5,6.3,2022,,
18250.587,05:22:00,Metal Loss,23.0,1.9,2.8,2022,,
18260.607,05:30:00,Metal Loss,25.0,3.1,2.6,2022,,
18501.375,06:02:00,Metal Loss,42.0,2.7,2.7,2022,,
19703.789,11:26:00,Metal Loss,17.0,23.5,5.6,2022,,
19711.526,11:25:00,Metal Loss,13.0,6.6,2.6,2022,,
20176.562,03:07:00,Metal Loss,12.0,8.4,3.1,2022,,
20417.103,05:24:00,Metal Loss,14.0,1.1,0.7,2022,,
20417.106,05:58:00,Metal Loss,28.0,3.3,1.9,2022,,11.0
20417.487,06:47:00,Metal Loss,32.0,1.8,1.5,2022,,
20496.119,05:15:00,Metal Loss,20.0,4.9,2.9,2022,,
20576.447,05:39:00,Metal Loss,18.0,5.1,3.1,2022,,
20716.854,06:03:00,Metal Loss,16.0,3.9,2.0,2022,,
21103.73,06:21:00,Metal Loss,25.0,1.3,1.4,2022,,
21366.778,07:15:00,Metal Loss,23.0,8.0,9.2,2022,10.0,40.0
21366.955,04:20:00,Metal Loss,37.0,5.3,7.8,2022,11.0,20.0
21367.064,09:04:00,Metal Loss,23.0,2.5,1.5,2022,11.0,13.0
21367.073,08:28:00,Metal Loss,20.0,1.5,0.9,2022,15.0,26.0
21392.329,06:47:00,Metal Loss,41.0,5.6,2.4,2022,54.0,
21523.579,07:03:00,Metal Loss,34.0,13.9,18.4,2022,,
21527.454,05:22:00,Metal Loss,16.0,2.8,4.8,2022,,
21900.453,04:32:00,Metal Loss,15.0,2.5,1.6,2022,,
21901.437,06:29:00,Metal Loss,20.0,5.9,2.1,2022,,
21902.575,06:55:00,Metal Loss,17.0,4.1,1.5,2022,,
21929.426,05:03:00,Metal Loss,18.0,6.9,2.4,2022,,
21930.226,04:19:00,Metal Loss,19.0,16.1,6.7,2022,,
21931.312,07:26:00,Metal Loss,15.0,2.5,3.1,2022,,
22011.339,04:53:00,Metal Loss,20.0,5.7,5.7,2022,,
22089.377,11:33:00,Metal Loss,16.0,1.9,2.6,2022,,
22089.846,05:19:00,Metal Loss,34.0,14.1,11.3,2022,,
22090.098,10:21:00,Metal Loss,16.0,3.0,2.6,2022,,
22090.302,07:07:00,Metal Loss,15.0,3.9,2.2,2022,,
22090.341,08:34:00,Metal Loss,15.0,5.0,5.7,2022,,
22091.237,05:22:00,Metal Loss,38.0,0.8,0.7,2022,,
22091.946,06:30:00,Metal Loss,46.0,3.8,2.4,2022,,
22093.074,11:32:00,Metal Loss,14.0,1.9,2.8,2022,,
22110.128,06:06:00,Metal Loss,10.0,4.9,1.5,2022,47.0,
22170.187,04:21:00,Metal Loss,25.0,9.7,7.1,2022,,
22170.551,07:59:00,Metal Loss,14.0,3.6,2.6,2022,,
22250.784,05:18:00,Metal Loss,11.0,3.2,2.0,2022,,
22460.453,03:58:00,Metal Loss,12.0,6.3,3.3,2022,,
22463.848,03:56:00,Metal Loss,13.0,4.1,2.4,2022,,
22473.543,04:03:00,Metal Loss,12.0,6.3,2.7,2022,,
22478.553,03:59:00,Metal Loss,19.0,5.5,2.4,2022,,
22481.047,03:56:00,Metal Loss,12.0,5.0,2.3,2022,,10.0
22487.395,03:55:00,Metal Loss,14.0,7.7,1.9,2022,,11.0
22491.955,04:29:00,Metal Loss,19.0,1.5,1.3,2022,,
22493.163,05:11:00,Metal Loss,22.0,4.8,5.4,2022,,
22571.496,05:05:00,Metal Loss,15.0,5.2,5.4,2022,,
22740.482,02:50:00,Metal Loss Manufacturing Anomaly,31.0,1.6,2.5,2022,,
22740.869,06:09:00,Metal Loss Manufacturing Anomaly,22.0,0.4,1.3,2022,,
22788.773,10:05:00,Metal Loss,14.0,12.5,2.6,2022,,
22871.066,04:02:00,Metal Loss,20.0,0.9,1.1,2022,,
22871.184,06:32:00,Metal Loss,11.0,5.2,2.8,2022,,
22871.188,05:25:00,Metal Loss,16.0,8.8,6.3,2022,,
23031.68,06:30:00,Metal Loss,16.0,3.4,2.9,2022,12.0,12.0
23065.256,06:34:00,Metal Loss,36.0,23.4,7.1,2022,10.0,
23065.256,05:08:00,Metal Loss,17.0,6.4,4.2,2022,37.0,
23066.555,05:03:00,Metal Loss,16.0,4.0,1.1,2022,12.0,
23067.011,05:59:00,Metal Loss,25.0,3.7,2.8,2022,,
23074.695,07:40:00,Metal Loss,14.0,4.2,1.7,2022,,
23077.228,04:29:00,Metal Loss,36.0,13.1,2.3,2022,,
23077.881,07:10:00,Metal Loss,17.0,2.5,2.1,2022,,
23078.442,04:04:00,Metal Loss,14.0,6.0,2.4,2022,10.0,
23079.646,04:27:00,Metal Loss,20.0,9.6,2.3,2022,,
23080.673,03:55:00,Metal Loss,35.0,3.0,2.4,2022,,
23080.955,04:41:00,Metal Loss,23.0,17.5,8.0,2022,,
23081.64,07:42:00,Metal Loss,24.0,14.7,2.9,2022,,
23082.831,04:05:00,Metal Loss,18.0,17.3,5.2,2022,,
23083.133,07:51:00,Metal Loss,38.0,9.8,6.7,2022,,
23085.584,08:02:00,Metal Loss,18.0,1.3,1.4,2022,,
23086.119,04:17:00,Metal Loss,27.0,22.4,6.7,2022,,
23088.53,07:53:00,Metal Loss,17.0,16.8,5.9,2022,,
23088.678,04:13:00,Metal Loss,20.0,15.5,4.0,2022,,
23090.144,04:27:00,Metal Loss,22.0,16.7,5.6,2022,,
23092.454,07:54:00,Metal Loss,18.0,3.4,1.7,2022,,
23098.57,05:08:00,Metal Loss,37.0,15.2,5.9,2022,,
23101.237,07:20:00,Metal Loss,12.0,7.7,3.7,2022,,
23102.254,05:15:00,Metal Loss,19.0,2.6,1.8,2022,,
23102.641,05:56:00,Metal Loss,13.0,5.9,2.5,2022,,
23112.024,05:40:00,Metal Loss,27.0,2.2,2.4,2022,,
23190.682,06:27:00,Metal Loss,15.0,3.1,1.7,2022,,
23190.692,05:52:00,Metal Loss,12.0,2.1,2.6,2022,,
23192.398,05:47:00,Metal Loss,12.0,3.7,3.6,2022,11.0,
23232.956,01:34:00,Metal Loss,13.0,6.7,2.0,2022,,
23237.969,01:31:00,Metal Loss,17.0,2.6,1.7,2022,,
